Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
Python with AI,Female,2020,2020-10-20,November,WIOA - MA,2020-11-01,2020-11-16,2021-02-08,Training Completed,Corporate,JW,6172.48,Admitted,6172.48,Yes,"$50,000-$74,999",Business Analyst,MA,Harbor Systems,,Course Completion certificate,Medford Career Center,2020,2020,84,27,1,1
Data Analysis With Python and Tableau,Male,2023,2023-08-05,August,WIOA - PA,2023-08-14,2023-09-04,2023-12-11,Dropped Out,Masshire Website,TP,5762.94,Admitted,5762.94,No,,,PA,,,Course Completion certificate,Pittsburgh Career Center,2023,2023,98,30,0,0
Salesforce Essentials,Male,2026,2026-06-20,July,MRC,2026-07-12,2026-07-20,2027-01-04,Training Completed,USA Worksource MD,TP,5205.3,Admitted,5205.3,Yes,"$100,000-$124,999",Data Analyst,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2026,2026,168,30,1,1
BI Analytics,Male,2019,2019-09-15,September,WIOA - NY,2019-09-23,2019-10-07,2020-01-27,Training Completed,Masshire Website,AD,6036.06,Admitted,6036.06,,,,NY,,,Course Completion certificate,New York Career Center,2019,2019,112,22,1,0
AWS Solution and DevOps,Male,2022,2022-06-04,June,WIOA - MA,2022-06-23,2022-07-04,2022-10-10,Training Completed,Email,ML,6336.24,Admitted,6336.24,Yes,"$125,000-$149,999",Data Analyst,MA,Pioneer Digital,,Course Completion certificate,Boston Career Center,2022,2022,98,30,1,1
"Web, Mobile and Digital Marketing",Male,2024,2024-07-15,July,WIOA - FL,2024-07-28,2024-08-19,2024-11-11,Training Completed,Don't know,AM,5648.08,Admitted,5648.08,,,,FL,,,Course Completion certificate,Orlando Career Center,2024,2024,84,35,1,0
CompTIA-IT Support Specialist,Female,2018,2018-08-26,September,WIOA - VA,2018-09-11,2018-10-01,2019-01-21,Training Completed,Email,RJ,5385.96,Admitted,5385.96,Yes,"$100,000-$124,999",Cloud Support Specialist,VA,Blue River Solutions,,"cert 2,cert 3,Cert 4,Course Completion certificate",Richmond Career Center,2018,2018,112,36,1,1
Professional Skills for Digital Workspace,Female,2024,2024-10-12,November,VRRAP,2024-11-07,2024-12-02,2025-07-14,Training Completed,VRRAP,AD,5776.56,Admitted,5776.56,Yes,"$75,000-$99,999",Web Developer,VT,Evergreen Analytics,,Course Completion certificate,Veteran Affairs,2024,2025,224,51,1,1
AWS Solution and DevOps,Male,2020,2020-02-04,February,WIOA - NY,2020-02-12,2020-03-02,2020-06-08,Training Completed,Masshire Website,ML,6336.24,Admitted,6336.24,Yes,"$25,000-$49,999",Business Analyst,NY,Pioneer Digital,,Course Completion certificate,Albany Career Center,2019,2019,98,27,1,1
Test,Male,2017,2017-08-18,September,WIOA - MA,2017-09-05,2017-10-02,2017-12-25,Training Completed,Masshire Website,CB,5112.51,Admitted,5112.51,Yes,"$75,000-$99,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2017,2017,84,45,1,1
Data Science with Reporting Tools,Male,2016,2016-10-03,October,WIOA - MA,2016-10-25,2016-11-07,2017-01-30,Training Completed,Phone call,AD,5490.32,Admitted,5490.32,Yes,"$50,000-$74,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2016,2016,84,35,1,1
Business Office and Marketing Administrator,Male,2016,2016-11-03,November,WIOA - OH,2016-11-19,2016-12-05,2017-02-27,Training Completed,Career Center Reference - Phone,AM,5961.24,Admitted,5961.24,,,,OH,,,Course Completion certificate,Cleveland Career Center,2016,2016,84,32,1,0
Python with AI,Female,2024,2024-07-27,August,VRRAP,2024-08-13,2024-09-02,2024-11-25,Training Completed,NSCITE,AM,6172.48,Admitted,6172.48,Yes,"$125,000-$149,999",Web Developer,MA,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2024,2024,84,37,1,1
CompTIA-Network Specialist,Male,2023,2023-05-01,May,WIOA - FL,2023-05-15,2023-06-05,2023-09-25,Training Completed,Masshire Website,RJ,5184.99,Done with training,5184.99,Yes,"$100,000-$124,999",QA Tester,FL,Harbor Systems,,Course Completion certificate,Miami Career Center,2022,2023,112,35,1,1
Big Data with Java and Python,Male,2024,2024-07-12,July,WIOA - VA,2024-07-28,2024-08-05,2024-10-14,Training Completed,Phone call,JW,8862.37,Done with training,8862.37,Yes,"$100,000-$124,999",SQL Developer,VA,Summit Cloud Services,,Course Completion certificate,Norfolk Career Center,2024,2024,70,24,1,1
Data Analytics,Male,2024,2024-02-13,March,WIOA - NH,2024-03-11,2024-03-18,2024-09-02,Training Completed,Phone call,AM,5466.25,Admitted,5466.25,Yes,"$50,000-$74,999",Data Analyst,NH,Blue River Solutions,,Course Completion certificate,Manchester Career Center,2023,2024,168,34,1,1
Data Scientist,Male,2020,2020-05-10,May,WIOA - NY,2020-05-22,2020-06-15,2020-11-30,Training Completed,Career Center Reference - Email,AM,6049.18,Admitted,6049.18,Yes,"$75,000-$99,999",QA Tester,NY,Northstar Technology,,Course Completion certificate,Albany Career Center,2019,2020,168,36,1,1
AWS Solution and DevOps,Male,2026,2025-12-09,December,VRRAP,2025-12-30,2026-01-05,2026-04-13,Training Completed,Masshire Website,CB,6336.24,Admitted,6336.24,Yes,"$50,000-$74,999",SQL Developer,ME,Summit Cloud Services,,Course Completion certificate,Veteran Affairs,2025,2025,98,27,1,1
AI with Azure,Male,2025,2025-05-20,June,WIOA - MA,2025-06-04,2025-06-16,2025-12-01,Training Completed,Don't know,ML,6077.79,Admitted,6077.79,Yes,"$125,000-$149,999",Software Developer,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2024,2025,168,27,1,1
AWS DevOps with Automation Testing,Female,2020,2020-01-11,January,WIOA - NH,2020-01-20,2020-02-03,2020-04-27,Training Completed,Career Center Reference - Phone,CB,5654.69,Done with training,5654.69,No,,,NH,,,Course Completion certificate,Nashua Career Center,2019,2019,84,23,1,0
Linux with AWS Technologies_Packages,Male,2024,2024-04-27,May,WIOA - MA,2024-05-22,2024-06-03,2024-10-21,Training Completed,Don't know,TP,7499.66,Admitted,7499.66,Yes,"$100,000-$124,999",SQL Developer,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2023,2024,140,37,1,1
AWS Solution and DevOps,Female,2024,2024-10-16,October,WIOA - MA,2024-10-29,2024-11-04,2025-02-10,Training Completed,Career Center Reference - Phone,JW,6336.24,Dropped Out,6336.24,No,,,MA,,,Course Completion certificate,Boston Career Center,2024,2024,98,19,1,0
Big Data and Python Developer,Female,2021,2021-06-11,June,WIOA - FL,2021-06-28,2021-07-05,2021-11-22,Training Completed,Don't know,TP,6247.46,Admitted,6247.46,Yes,"$50,000-$74,999",Software Developer,FL,Summit Cloud Services,,Course Completion certificate,Orlando Career Center,2021,2021,140,24,1,1
ADOBE Photoshop and Illustrator with Digital Marketing,Female,2017,2017-09-21,September,WIOA - MA,2017-09-28,2017-10-02,2018-01-22,Training Completed,Google search,AD,6249.79,Admitted,6249.79,Yes,"$100,000-$124,999",Data Analyst,MA,Vertex Consulting,,Course Completion certificate,Boston Career Center,2017,2017,112,11,1,1
BI Analytics,Female,2019,2019-11-19,December,WIOA - FL,2019-12-07,2019-12-16,2020-04-06,Training Completed,Don't know,TP,6036.06,Admitted,6036.06,Yes,"$125,000-$149,999",Software Developer,FL,Summit Cloud Services,,Course Completion certificate,Orlando Career Center,2019,2019,112,27,1,1
AWS Technology with Reporting Tool,Female,2026,2026-07-03,July,VRRAP,2026-07-29,2026-08-17,2026-10-12,Training Completed,NJ Portal,TP,8847.6,Admitted,8847.6,Yes,"$75,000-$99,999",Technical Support Specialist,NH,Summit Cloud Services,,Course Completion certificate,Veteran Affairs,2026,2026,56,45,1,1
Data Science with Tableau,Male,2023,2023-09-29,October,WIOA - NJ,2023-10-27,2023-11-06,2024-01-29,Training Completed,Career Center Reference - Phone,AD,6404.23,Admitted,6404.23,Yes,"$125,000-$149,999",Web Developer,NJ,Evergreen Analytics,,Course Completion certificate,Newark Career Center,2023,2023,84,38,1,1
Kubernetes with Cloud and Data Science,Male,2024,2024-05-04,May,VRRAP,2024-05-22,2024-06-17,2024-11-04,Training Completed,VRRAP,AM,8555.54,Admitted,8555.54,Yes,"$125,000-$149,999",SQL Developer,OH,Pioneer Digital,,Course Completion certificate,Veteran Affairs,2023,2024,140,44,1,1
OLD student,Male,2025,2025-09-22,October,WIOA - MD,2025-10-19,2025-11-03,2026-04-20,Training Completed,PA careerlink,AM,5815.44,Admitted,5815.44,Yes,"$75,000-$99,999",Cloud Support Specialist,MD,Northstar Technology,,Course Completion certificate,Maryland Career Center,2025,2025,168,42,1,1
Data Analytics with Automation QA,Female,2018,2018-07-22,August,MassAbility,2018-08-04,2018-08-20,2018-11-12,Training Completed,Vermont JobLink,AD,5511.27,Admitted,5511.27,Yes,"$50,000-$74,999",QA Tester,MA,Evergreen Analytics,,Course Completion certificate,Boston Career Center,2018,2018,84,29,1,1
Database developer with data analytics,Female,2026,2026-04-19,April,WIOA - FL,2026-04-26,2026-05-04,2026-08-10,Training Completed,Masshire Website,TP,6001.75,Admitted,6001.75,No,,,FL,,,Course Completion certificate,Miami Career Center,2025,2026,98,15,1,0
Data Science with Programming Tools,Male,2021,2021-09-29,October,WIOA - VA,2021-10-14,2021-10-18,2021-12-27,Training Completed,Career Center Reference - Phone,JW,4823.81,Admitted,4823.81,Yes,"$50,000-$74,999",QA Tester,VA,Vertex Consulting,,Course Completion certificate,Richmond Career Center,2021,2021,70,19,1,1
AWS Solution and DevOps,Male,2024,2024-01-14,February,WIOA - ME,2024-02-11,2024-02-19,2024-05-27,Training Completed,Masshire Website,CB,6336.24,Dropped Out,6336.24,Yes,"$100,000-$124,999",Web Developer,ME,Evergreen Analytics,,Course Completion certificate,Augusta Career Center,2023,2023,98,36,1,1
Front End Web Development,Male,2019,2019-09-22,October,VRRAP,2019-10-03,2019-10-07,2019-12-02,Training Completed,Masshire Website,AM,5710.04,Admitted,5710.04,Yes,"$25,000-$49,999",Web Developer,DE,Harbor Systems,,Course Completion certificate,Veteran Affairs,2019,2019,56,15,1,1
Data Science with Tableau,Male,2019,2019-11-02,November,WIOA - NH,2019-11-24,2019-12-02,2020-03-23,Training Completed,USA Worksource MD,TP,6340.49,Done with training,6340.49,Yes,"$125,000-$149,999",SQL Developer,NH,Vertex Consulting,,Course Completion certificate,Manchester Career Center,2019,2019,112,30,1,1
Automation Quality Assurance,Male,2020,2020-02-22,March,WIOA - MD,2020-03-14,2020-04-06,2020-06-15,Training Completed,Maine Joblink,AM,8614.77,Admitted,8614.77,No,,,MD,,,Course Completion certificate,Baltimore Career Center,2019,2019,70,44,1,0
"Web, Mobile and Digital Marketing",Male,2020,2020-01-10,February,WIOA - FL,2020-02-02,2020-02-17,2020-05-11,Training Completed,Career Center Reference - Email,ML,5648.08,Done with training,5648.08,Yes,"$50,000-$74,999",Business Analyst,FL,Pioneer Digital,,Course Completion certificate,Miami Career Center,2019,2019,84,38,1,1
AWS Solution and DevOps,Male,2017,2017-02-19,March,WIOA - MA,2017-03-05,2017-03-20,2017-06-26,Training Completed,Phone call,RJ,6336.24,Admitted,6336.24,Yes,"$75,000-$99,999",SQL Developer,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2016,2016,98,29,1,1
Advanced Data Analytics,Male,2019,2019-08-21,September,WIOA - NY,2019-09-10,2019-09-16,2020-01-06,Training Completed,Email,ML,5811.89,Done with training,5811.89,Yes,"$50,000-$74,999",Cloud Support Specialist,NY,Evergreen Analytics,,Course Completion certificate,New York Career Center,2019,2019,112,26,1,1
Automation Quality Assurance,Male,2023,2023-01-19,February,WIOA - NY,2023-02-10,2023-03-06,2023-05-15,Training Completed,Google search,JW,8614.77,In Training,8614.77,,,,NY,,,Course Completion certificate,Albany Career Center,2022,2022,70,46,1,0
Kubernetes with Cloud and Data Science,Female,2025,2025-08-16,September,WIOA - VA,2025-09-09,2025-10-06,2026-02-23,Training Completed,Website,RJ,8555.54,Done with training,8555.54,Yes,"$125,000-$149,999",Web Developer,VA,Vertex Consulting,,Course Completion certificate,Richmond Career Center,2025,2025,140,51,1,1
AWS Cloud Technologies,Female,2017,2016-12-04,December,WIOA - CT,2016-12-25,2017-01-02,2017-04-24,Training Completed,NSCITE,ML,5933.47,Admitted,5933.47,Yes,"$50,000-$74,999",Web Developer,MA,Summit Cloud Services,,Course Completion certificate,New Haven Career Center,2016,2016,112,29,1,1
Microsoft office with Website Design_USA,Female,2016,2016-09-03,September,WIOA - NY,2016-09-19,2016-10-03,2017-01-09,Training Completed,Don't know,RJ,5280.32,Done with training,5280.32,Yes,"$75,000-$99,999",Cloud Support Specialist,NY,Northstar Technology,,Course Completion certificate,New York Career Center,2016,2016,98,30,1,1
Data Analytics with Business Intelligence,Male,2022,2022-06-30,July,WIOA - PA,2022-07-14,2022-07-18,2022-12-05,Training Completed,Masshire Website,AD,6884.26,Admitted,6884.26,Yes,"$75,000-$99,999",Data Analyst,PA,Northstar Technology,,Completion Certificate,Philadelphia Career Center,2022,2022,140,18,1,1
CompTIA-Cybersecurity Specialist,Male,2023,2023-07-31,August,MRC,2023-08-24,2023-09-18,2023-12-11,Training Completed,Masshire Website,TP,6644.76,Admitted,6644.76,Yes,"$100,000-$124,999",Web Developer,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2023,2023,84,49,1,1
Oracle Java and Python Developer,Female,2022,2022-08-28,September,MassAbility,2022-09-15,2022-10-03,2022-11-28,Training Completed,Masshire Website,AD,5865.76,Admitted,5865.76,Yes,"$125,000-$149,999",Software Developer,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2022,2022,56,36,1,1
Software QA Automation,Male,2026,2026-05-06,May,MRC,2026-05-27,2026-06-01,2026-09-07,Training Completed,Phone call,AD,10176.63,Admitted,10176.63,Yes,"$125,000-$149,999",Software Developer,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2025,2026,98,26,1,1
"Big data with Scala, Spark and Kafka",Female,2018,2018-10-27,November,WIOA - NY,2018-11-17,2018-12-03,2019-02-25,Training Completed,Masshire Website,ML,4786.92,Admitted,4786.92,No,,,NY,,,Course Completion certificate,Albany Career Center,2018,2018,84,37,1,0
Python Web Development,Female,2021,2021-05-16,May,WIOA - MD,2021-05-23,2021-06-07,2021-09-13,Training Completed,Career Center Reference - Email,ML,6476.39,Done with training,6476.39,Yes,"$50,000-$74,999",SQL Developer,MD,Vertex Consulting,,Course Completion certificate,Rockville Career Center,2020,2021,98,22,1,1
Data Analytics with Automation QA,Male,2025,2025-10-07,October,WIOA - VA,2025-10-31,2025-11-17,2026-02-09,Training Completed,NJ Portal,CB,5511.27,Done with training,5511.27,Yes,"$75,000-$99,999",Software Developer,VA,Vertex Consulting,,Course Completion certificate,Norfolk Career Center,2025,2025,84,41,1,1
Data Analytics with Automation QA,Female,2022,2022-10-01,October,WIOA - NH,2022-10-22,2022-11-07,2023-01-30,Dropped Out,PA careerlink,AD,5511.27,Admitted,5511.27,Yes,"$50,000-$74,999",Software Developer,NH,Harbor Systems,,Course Completion certificate,Nashua Career Center,2022,2022,84,37,0,1
Python with Cloud Computing,Female,2022,2022-05-05,May,WIOA - NH,2022-05-19,2022-06-06,2022-09-26,Training Completed,Masshire Website,AM,8474.01,Admitted,8474.01,Yes,"$125,000-$149,999",QA Tester,NH,Harbor Systems,,Course Completion certificate,Manchester Career Center,2021,2022,112,32,1,1
CompTIA-Security analyst,Female,2026,2025-12-08,December,WIOA - ME,2025-12-27,2026-01-19,2026-04-27,Training Completed,Masshire Website,CB,5294.83,Admitted,5294.83,No,,,ME,,,Course Completion certificate,Augusta Career Center,2025,2025,98,42,1,0
Data Analytics from Automation QA,Female,2020,2019-12-07,December,VRRAP,2019-12-29,2020-01-06,2020-03-30,Training Completed,Tidio chat,AM,6185.82,Admitted,6185.82,Yes,"$50,000-$74,999",Web Developer,MD,Harbor Systems,,Course Completion certificate,Veteran Affairs,2019,2019,84,30,1,1
Web development and Cloud computing with Azure,Male,2018,2018-02-04,February,WIOA - MA,2018-02-18,2018-03-05,2018-06-25,Training Completed,Phone Call,AM,7681.61,Dropped Out,7681.61,Yes,"$75,000-$99,999",Cloud Support Specialist,MA,Summit Cloud Services,,Course Completion certificate,Boston Career Center,2017,2017,112,29,1,1
Data Science with Programming Tools,Male,2017,2017-10-24,November,WIOA - NY,2017-11-01,2017-11-20,2018-01-29,Training Completed,Career Counselor reference,AD,4823.81,Admitted,4823.81,No,,,NY,,,Course Completion certificate,Albany Career Center,2017,2017,70,27,1,0
Automation Quality Assurance,Male,2024,2024-10-25,November,WIOA - VA,2024-11-10,2024-11-18,2025-01-27,Dropped Out,Maryland Joblink,ML,8614.77,Admitted,8614.77,Yes,"$25,000-$49,999",Business Analyst,VA,Vertex Consulting,,Course Completion certificate,Norfolk Career Center,2024,2024,70,24,0,1
AWS DevOps with Digital Marketing,Male,2025,2025-03-03,March,WIOA - MA,2025-03-24,2025-04-07,2025-07-28,Training Completed,Masshire Website,CB,4982.58,Admitted,4982.58,Yes,"$25,000-$49,999",SQL Developer,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2024,2025,112,35,1,1
AWS Solution and DevOps,Female,2018,2018-11-14,November,WIOA - MA,2018-11-25,2018-12-17,2019-03-25,Training Completed,PA careerlink,AD,6336.24,Admitted,6336.24,Yes,"$25,000-$49,999",Business Analyst,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2018,2018,98,33,1,1
Digital Marketing with Salesforce(with Laptop),Male,2021,2021-02-15,February,VRRAP,2021-02-24,2021-03-01,2021-05-24,Training Completed,Masshire Website,AM,6007.83,Admitted,6007.83,Yes,"$75,000-$99,999",Web Developer,HI,Blue River Solutions,,Course Completion certificate,Veteran Affairs,2020,2020,84,14,1,1
Full Stack PHP  Developer,Female,2022,2022-06-02,June,Section 30,2022-06-19,2022-07-04,2023-01-16,Training Completed,Phone call,AD,4556.74,Admitted,4556.74,Yes,"$50,000-$74,999",QA Tester,MA,Harbor Systems,,Course Completion certificate,Medford Career Center,2022,2022,196,32,1,1
OLD Student,Female,2018,2017-11-29,December,WIOA - MA,2017-12-17,2018-01-01,2018-05-21,Training Completed,Don't know,CB,6330.29,Admitted,6330.29,,,,MA,,,Course Completion certificate,Medford Career Center,2017,2017,140,33,1,0
"Web, Mobile and Digital Marketing",Male,2025,2025-02-01,February,WIOA - MA,2025-02-27,2025-03-17,2025-06-09,Training Completed,PA careerlink,JW,5648.08,Admitted,5648.08,Yes,"$75,000-$99,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2024,2024,84,44,1,1
AWS and Kubernetes with Certification course,Female,2020,2020-09-27,October,Section 30,2020-10-05,2020-10-19,2021-01-11,Training Completed,Don't know,TP,6082.28,Admitted,6082.28,Yes,"$125,000-$149,999",Technical Support Specialist,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2020,2020,84,22,1,1
Web Development with AWS DevOps,Female,2025,2025-03-27,April,WIOA - NH,2025-04-15,2025-04-21,2025-07-14,Training Completed,Masshire Website,CB,5924.41,Admitted,5924.41,Yes,"$75,000-$99,999",Web Developer,NH,Evergreen Analytics,,Course Completion certificate,Nashua Career Center,2024,2025,84,25,1,1
CompTIA-Security analyst,Female,2024,2024-03-10,March,WIOA - FL,2024-03-17,2024-04-01,2024-07-08,Training Completed,Website,RJ,5294.83,Admitted,5294.83,Yes,"$100,000-$124,999",Web Developer,FL,Blue River Solutions,,Course Completion certificate,Orlando Career Center,2023,2024,98,22,1,1
AI with Azure,Male,2019,2019-06-28,July,Section 30,2019-07-11,2019-07-15,2019-12-30,Training Completed,Phone call,AD,6077.79,Admitted,6077.79,Yes,"$75,000-$99,999",SQL Developer,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2019,2019,168,17,1,1
Python with AI,Female,2023,2023-10-02,October,WIOA - VT,2023-10-23,2023-11-20,2024-02-12,Training Completed,Email,AM,6172.48,Admitted,6172.48,Yes,"$100,000-$124,999",Cloud Support Specialist,VT,Pioneer Digital,,Course Completion certificate,Burlington Career Center,2023,2023,84,49,1,1
Data Analytics,Female,2024,2023-12-30,January,WIOA - VT,2024-01-14,2024-02-05,2024-07-22,Training Completed,Email,TP,5466.25,Dropped Out,5466.25,Yes,"$75,000-$99,999",Business Analyst,VT,Blue River Solutions,,Course Completion certificate,Rutland Career Center,2023,2024,168,37,1,1
CompTIA-Cybersecurity Specialist,Male,2019,2019-08-27,September,Section 30,2019-09-07,2019-09-16,2019-12-09,Training Completed,Masshire Website,TP,6644.76,Training completed,6644.76,Yes,"$25,000-$49,999",Business Analyst,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2019,2019,84,20,1,1
Data Science with Programming Tools,Female,2019,2019-01-27,February,WIOA - FL,2019-02-06,2019-02-18,2019-04-29,Training Completed,Don't know,CB,4823.81,Admitted,4823.81,Yes,"$25,000-$49,999",Data Analyst,FL,Vertex Consulting,,Course Completion certificate,Miami Career Center,2018,2018,70,22,1,1
Salesforce Admin with Digital Marketing_Package-5980,Male,2024,2024-10-30,November,WIOA - MA,2024-11-20,2024-12-02,2025-03-10,Training Completed,Masshire Website,CB,6050.42,Admitted,6050.42,Yes,"$125,000-$149,999",Technical Support Specialist,MA,Harbor Systems,,Course Completion certificate,Medford Career Center,2024,2024,98,33,1,1
AWS Solution and DevOps,Female,2023,2023-05-12,June,WIOA - NJ,2023-06-07,2023-06-19,2023-09-25,Training Completed,Career Center Reference - Email,AD,6336.24,Dropped Out,6336.24,Yes,"$25,000-$49,999",Web Developer,NJ,Summit Cloud Services,,Course Completion certificate,Trenton Career Center,2022,2023,98,38,1,1
VA,Male,2024,2023-12-26,January,WIOA - VA,2024-01-09,2024-01-15,2024-04-08,Training Completed,Email,JW,6413.34,Admitted,6413.34,Yes,"$125,000-$149,999",Cloud Support Specialist,VA,Summit Cloud Services,,Course Completion certificate,Richmond Career Center,2023,2023,84,20,1,1
Social media marketing with Graphics,Male,2019,2019-09-03,September,Trade - MA,2019-09-12,2019-10-07,2019-12-16,Training Completed,Phone call,CB,6339.64,Admitted,6339.64,Yes,"$50,000-$74,999",Technical Support Specialist,MA,Harbor Systems,,Course Completion certificate,Worcester Career Center,2019,2019,70,34,1,1
OLD student,Male,2023,2023-10-23,November,WIOA - NJ,2023-11-18,2023-12-04,2024-05-20,Dropped Out,Career Center Reference - Email,JW,5815.44,Dropped Out,5815.44,Yes,"$100,000-$124,999",Technical Support Specialist,NJ,Summit Cloud Services,,Course Completion certificate,Trenton Career Center,2023,2023,168,42,0,1
OLD student,Male,2023,2023-09-23,October,WIOA - NH,2023-10-10,2023-10-16,2024-04-01,Training Completed,Phone call,JW,5815.44,Admitted,5815.44,Yes,"$125,000-$149,999",Web Developer,NH,Vertex Consulting,,Course Completion certificate,Manchester Career Center,2023,2023,168,23,1,1
Salesforce Admin with Digital Marketing,Female,2019,2019-11-16,December,Section 30,2019-12-02,2019-12-16,2020-03-23,Training Completed,Career Center Reference - Phone,TP,4847.6,Admitted,4847.6,,,,MA,,,Course Completion certificate,Worcester Career Center,2019,2019,98,30,1,0
Cybersecurity,Male,2019,2019-03-29,April,WIOA - MA,2019-04-08,2019-04-15,2019-07-08,Training Completed,Career Center Reference - Email,AM,5304.53,Admitted,5304.53,,,,MA,,,Course Completion certificate,Boston Career Center,2018,2019,84,17,1,0
Data Analytics,Male,2020,2020-11-13,November,VRRAP,2020-11-25,2020-12-21,2021-06-07,Training Completed,NJ Portal,RJ,5466.25,Done with training,5466.25,No,,,FL,,,Course Completion certificate,Veteran Affairs,2020,2020,168,38,1,0
CompTIA Core,Male,2024,2023-12-24,January,WIOA - FL,2024-01-19,2024-02-05,2024-05-13,Training Completed,Don't know,CB,6806.58,Admitted,6806.58,No,,,FL,,,Course Completion certificate,Orlando Career Center,2023,2023,98,43,1,0
Data Analysis With Python and Tableau,Male,2018,2018-06-18,June,WIOA - VA,2018-06-25,2018-07-16,2018-10-22,Training Completed,Career Center Reference - Email,CB,5762.94,Admitted,5762.94,Yes,"$125,000-$149,999",Data Analyst,VA,Blue River Solutions,,"Course Certificate,Course Completion certificate",Richmond Career Center,2018,2018,98,28,1,1
AWS Solution and DevOps,Male,2025,2025-05-06,May,WIOA - NJ,2025-05-19,2025-06-16,2025-09-22,Training Completed,Phone call,CB,6336.24,Admitted,6336.24,Yes,"$25,000-$49,999",Business Analyst,NJ,Evergreen Analytics,,Course Completion certificate,Newark Career Center,2024,2025,98,41,1,1
"Web, Mobile and Digital Marketing",Male,2019,2019-02-01,February,WIOA - CT,2019-02-26,2019-03-18,2019-06-10,Training Completed,Don't know,CB,5648.08,Admitted,5648.08,Yes,"$100,000-$124,999",SQL Developer,CT,Harbor Systems,,Course Completion certificate,Hartford Career Center,2018,2018,84,45,1,1
Programming with Cloud Computing Technologies,Female,2025,2024-12-29,January,Section 30,2025-01-17,2025-02-03,2025-05-26,Training Completed,Masshire Website,AD,5967.69,Done with training,5967.69,Yes,"$50,000-$74,999",Technical Support Specialist,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2024,2024,112,36,1,1
AWS Cloud Technologies,Male,2018,2018-01-30,February,WIOA - NJ,2018-02-21,2018-03-05,2018-06-25,Training Completed,Don't know,ML,5933.47,Admitted,5933.47,Yes,"$25,000-$49,999",Technical Support Specialist,NJ,Evergreen Analytics,,Course Completion certificate,Newark Career Center,2017,2017,112,34,1,1
Salesforce Admin with Digital Marketing,Male,2024,2023-12-25,January,WIOA - MA,2024-01-10,2024-01-15,2024-04-22,Training Completed,Phone call,RJ,4847.6,Admitted,4847.6,No,,,MA,,,Course Completion certificate,Boston Career Center,2023,2023,98,21,1,0
AWS Solution and DevOps,Male,2022,2022-03-08,March,WIOA - CT,2022-03-26,2022-04-04,2022-07-11,Training Completed,Maryland Joblink,RJ,6336.24,Admitted,6336.24,Yes,"$75,000-$99,999",Cloud Support Specialist,MA,Pioneer Digital,,Course Completion certificate,New Haven Career Center,2021,2022,98,27,1,1
"Web, Mobile and Digital Marketing",Female,2023,2023-03-12,March,WIOA - MA,2023-03-30,2023-04-03,2023-06-26,Training Completed,Phone call,AM,5648.08,Admitted,5648.08,Yes,"$75,000-$99,999",SQL Developer,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2022,2022,84,22,1,1
AWS and Kubernetes with Certification course,Male,2026,2026-05-10,May,WIOA - MA,2026-05-17,2026-06-01,2026-08-24,Training Completed,Business Development Flyer QR Code,RJ,6082.28,Admitted,6082.28,Yes,"$125,000-$149,999",Data Analyst,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2025,2026,84,22,1,1
Salesforce Admin with Tableau,Male,2017,2017-01-14,January,WIOA - NH,2017-01-24,2017-02-20,2017-05-29,Dropped Out,Masshire Website,RJ,5432.88,Admitted,5432.88,,,,NH,,,Course Completion certificate,Manchester Career Center,2016,2016,98,37,0,0
Salesforce Admin with Digital Marketing,Male,2018,2018-01-05,January,WIOA - MA,2018-01-22,2018-02-19,2018-05-28,Training Completed,Career Center Reference - Phone,ML,4847.6,Done with training,4847.6,Yes,"$50,000-$74,999",Software Developer,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2017,2017,98,45,1,1
CompTIA-Network Specialist,Female,2017,2017-04-22,May,WIOA - OH,2017-05-03,2017-05-15,2017-09-04,Training Completed,Phone call,AM,5184.99,Admitted,5184.99,No,,,OH,,,Course Completion certificate,Cleveland Career Center,2016,2017,112,23,1,0
